System Time, Elapsed Time (sec), Package Power (Watt), CPU Power (Watt), DRAM Power (Watt), GPU Power (Watt), E-Core Frequency (Mhz), P-Core Frequency (Mhz), GPU Frequency (Mhz), CPU MIN Temperature (C), CPU AVG Temperature (C), CPU MAX Temperature (C), GPU AVG Temperature (C), CPU Utilization (%), E-Core Utilization (%), P-Core Utilization (%), GPU Utilization (%)
17:49:05.358, 133.991, 11.474, 6.918, 1.252, 0.126, 1488, 3135, 110, 62, 64, 67, 61, 45.455, 17.734, 54.664, 25.000
17:49:06.341, 134.973, 8.120, 5.760, 0.822, 0.250, 1730, 2115, 178, 61, 64, 67, 61, 32.319, 29.293, 33.333, 40.000
17:49:07.374, 136.007, 3.220, 1.454, 0.548, 0.230, 1311, 2213, 159, 63, 65, 68, 61, 44.727, 37.561, 47.097, 38.000
17:49:08.352, 136.985, 5.434, 2.954, 0.760, 0.104, 1502, 2223, 69, 60, 62, 65, 61, 24.649, 27.041, 23.850, 21.000
17:49:09.335, 137.968, 9.864, 5.960, 1.140, 0.046, 1545, 3170, 90, 61, 63, 65, 61, 35.741, 16.162, 42.301, 22.000
17:49:10.332, 138.965, 8.924, 5.374, 1.024, 0.046, 1642, 3007, 55, 62, 64, 67, 61, 33.417, 17.588, 38.667, 22.000
17:49:11.341, 139.974, 3.758, 1.274, 0.700, 0.254, 1436, 2089, 211, 61, 63, 66, 61, 19.054, 20.500, 18.574, 41.000
17:49:12.334, 140.967, 8.992, 6.730, 0.738, 0.150, 1820, 1906, 153, 59, 61, 65, 61, 32.286, 33.500, 31.879, 27.000
17:49:13.350, 141.983, 1.810, 0.802, 0.372, 0.134, 1396, 1688, 53, 63, 65, 68, 61, 35.679, 27.586, 38.386, 25.000
17:49:14.355, 142.988, 0.804, 0.410, 0.178, 0.000, 1003, 968, 0, 59, 62, 64, 61, 12.795, 16.337, 11.609, 27.000
17:49:15.333, 143.966, 1.342, 0.608, 0.328, 0.090, 1159, 1480, 56, 59, 61, 65, 61, 12.788, 12.821, 12.777, 24.000
17:49:16.356, 144.989, 1.274, 0.582, 0.360, 0.124, 1470, 1607, 113, 59, 61, 64, 60, 16.646, 27.586, 13.029, 21.000
17:49:17.356, 145.989, 3.154, 1.180, 0.638, 0.308, 1513, 1826, 241, 59, 61, 64, 60, 22.665, 38.308, 17.442, 39.000
17:49:18.351, 146.984, 2.482, 0.748, 0.472, 0.224, 1630, 1498, 174, 59, 61, 64, 61, 19.849, 33.668, 15.243, 31.000
17:49:19.349, 147.982, 2.616, 1.338, 0.490, 0.156, 1698, 1449, 133, 59, 61, 63, 60, 21.053, 29.851, 18.090, 27.000
17:49:20.385, 149.018, 9.596, 5.754, 1.124, 0.042, 1478, 3165, 72, 60, 62, 64, 60, 36.068, 16.505, 42.536, 21.000
17:49:21.330, 149.963, 11.206, 6.524, 1.376, 0.106, 1654, 3144, 112, 61, 63, 67, 61, 38.522, 16.316, 45.951, 36.000
17:49:22.344, 150.977, 8.186, 4.144, 1.164, 0.104, 1389, 3151, 82, 62, 64, 67, 61, 36.634, 22.886, 41.186, 22.000
17:49:23.330, 151.963, 12.280, 7.856, 1.306, 0.104, 1660, 3138, 89, 61, 63, 66, 61, 38.657, 20.707, 44.670, 22.000
17:49:24.370, 153.003, 7.246, 3.846, 0.934, 0.082, 1310, 3008, 68, 64, 67, 70, 62, 53.133, 42.512, 56.661, 24.000
